dataset,k,n
AMIE,9,5
Levoglucosan_kinase,4,8
Levoglucosan_kinase_stabilized,7,7
BF520,7,8
beta-glucosidase,8,7
BG505,7,8
beta-lactamase-Ostermeier2014,5,7
beta-lactamase-Palzkill2012,5,7
beta-lactamase-Ranganathan2015,5,7
beta-lactamase-Tenaillon2013,5,7
BRCA1_BRCT,4,7
BRCA1_RING,3,6
CALM1,8,5
PSD95,5,5
GAL4,8,4
HG_FLU,6,7
HIS7,6,6
HSP90,8,6
IF1,6,4
KKA2,9,5
MAPK1,9,6
MTH3,6,7
PA_FLU,7,7
pabp_doubles,6,5
pabp_singles,5,5
parEparD,8,5
HepatitisC,5,6
PTEN,6,7
RASH,6,6
ubiquitin_Bolon2013,4,6
ubiquitin_Bolon2014,4,6
ubiquitin_Fraser2016,4,6
SUMO1,6,4
TIM_Barrel_Ss,5,7
TIM_Barrel_Tm,5,6
TIM_Barrel_Tt,5,7
TPK1,4,7
TPMT,6,6
trna_yeast,4,6
UBC9,6,5
UBE4B,6,5
YAP1,5,4
